Time,rssi
2022-09-05 15:24:54,-88.25
2022-09-05 15:24:56,-87.53333333333333
2022-09-05 15:24:58,-88.28571428571429
2022-09-05 15:25:00,-85.6842105263158
2022-09-05 15:25:02,-86.92857142857143
2022-09-05 15:25:04,-87.53333333333333
2022-09-05 15:25:06,-87.8
2022-09-05 15:25:08,-88.72727272727273
2022-09-05 15:25:10,-86.94444444444444
2022-09-05 15:25:12,-83.875
2022-09-05 15:25:14,-90.2
2022-09-05 15:25:16,-88.38461538461539
2022-09-05 15:25:18,-82.83333333333333
2022-09-05 15:25:20,-81.85714285714286
2022-09-05 15:25:22,-83.6470588235294
2022-09-05 15:25:24,-85.77777777777777
2022-09-05 15:25:26,-87.375
2022-09-05 15:25:28,-88.30434782608695
2022-09-05 15:25:30,-87.75
2022-09-05 15:25:32,-87.84
2022-09-05 15:25:34,-80.78260869565217
2022-09-05 15:25:36,-87.4
2022-09-05 15:25:38,-82.66666666666667
2022-09-05 15:25:40,-85.33333333333333
2022-09-05 15:25:42,-83.70833333333333
2022-09-05 15:25:44,-83.9047619047619
2022-09-05 15:25:46,-83.45833333333333
2022-09-05 15:25:48,-81.22222222222223
2022-09-05 15:25:50,-82.57692307692308
2022-09-05 15:25:52,-83.21052631578948
2022-09-05 15:25:54,-84.80952380952381
2022-09-05 15:25:56,-83.05263157894737
2022-09-05 15:25:58,-84.05
2022-09-05 15:26:00,-83.92592592592592
2022-09-05 15:26:02,-84.95454545454545
2022-09-05 15:26:04,-84.0952380952381
2022-09-05 15:26:06,-84.61904761904762
2022-09-05 15:26:08,-85.42105263157895
2022-09-05 15:26:10,-83.51851851851852
2022-09-05 15:26:12,-80.53333333333333
2022-09-05 15:26:14,-83.3913043478261
2022-09-05 15:26:16,-83.66666666666667
2022-09-05 15:26:18,-84.31818181818181
2022-09-05 15:26:20,-82.80952380952381
2022-09-05 15:26:22,-84.27272727272727
2022-09-05 15:26:24,-83.81818181818181
2022-09-05 15:26:26,-82.15
2022-09-05 15:26:28,-87.19047619047619
2022-09-05 15:26:30,-84.5909090909091
2022-09-05 15:26:32,-83.76470588235294
2022-09-05 15:26:34,-83.13636363636364
2022-09-05 15:26:36,-85.54166666666667
2022-09-05 15:26:38,-82.52173913043478
2022-09-05 15:26:40,-86.0
2022-09-05 15:26:42,-86.33333333333333
2022-09-05 15:26:44,-82.8125
2022-09-05 15:26:46,-83.18181818181819
2022-09-05 15:26:48,-82.53846153846153
2022-09-05 15:26:50,-84.08695652173913
2022-09-05 15:26:52,-81.125
2022-09-05 15:26:54,-81.27272727272727
2022-09-05 15:26:56,-82.0
2022-09-05 15:26:58,-83.89473684210526
2022-09-05 15:27:00,-88.58620689655173
2022-09-05 15:27:02,-84.2
2022-09-05 15:27:04,-83.9
2022-09-05 15:27:06,-87.375
2022-09-05 15:27:08,-80.26086956521739
2022-09-05 15:27:10,-84.27777777777777
2022-09-05 15:27:12,-85.20833333333333
2022-09-05 15:27:14,-86.94736842105263
2022-09-05 15:27:16,-87.875
2022-09-05 15:27:18,-84.47368421052632
2022-09-05 15:27:20,-84.15384615384616
2022-09-05 15:27:22,-84.05263157894737
2022-09-05 15:27:24,-88.31818181818181
2022-09-05 15:27:26,-85.6086956521739
2022-09-05 15:27:28,-82.33333333333333
2022-09-05 15:27:30,-83.80952380952381
2022-09-05 15:27:32,-85.42857142857143
2022-09-05 15:27:34,-82.63157894736842
2022-09-05 15:27:36,-85.12
2022-09-05 15:27:38,-81.17647058823529
2022-09-05 15:27:40,-86.54166666666667
2022-09-05 15:27:42,-84.45
2022-09-05 15:27:44,-85.24
2022-09-05 15:27:46,-80.5
2022-09-05 15:27:48,-85.65217391304348
2022-09-05 15:27:50,-85.88888888888889
2022-09-05 15:27:52,-78.0
2022-09-05 15:27:54,-86.58620689655173
2022-09-05 15:27:56,-86.84210526315789
2022-09-05 15:27:58,-86.41666666666667
2022-09-05 15:28:00,-85.72727272727273
2022-09-05 15:28:02,-83.18181818181819
2022-09-05 15:28:04,-84.29166666666667
2022-09-05 15:28:06,-81.89473684210526
2022-09-05 15:28:08,-84.25
2022-09-05 15:28:10,-81.55555555555556
2022-09-05 15:28:12,-81.04761904761905
2022-09-05 15:28:14,-85.08695652173913
2022-09-05 15:28:16,-84.45454545454545
2022-09-05 15:28:18,-83.77777777777777
2022-09-05 15:28:20,-86.08695652173913
2022-09-05 15:28:22,-85.11111111111111
2022-09-05 15:28:24,-84.65384615384616
2022-09-05 15:28:26,-82.77777777777777
2022-09-05 15:28:28,-84.14285714285714
2022-09-05 15:28:30,-83.52380952380952
2022-09-05 15:28:32,-85.3913043478261
2022-09-05 15:28:34,-84.875
2022-09-05 15:28:36,-83.92857142857143
2022-09-05 15:28:38,-84.55555555555556
2022-09-05 15:28:40,-85.03703703703704
2022-09-05 15:28:42,-87.0
2022-09-05 15:28:44,-87.69565217391305
2022-09-05 15:28:46,-86.84615384615384
2022-09-05 15:28:48,-85.6086956521739
2022-09-05 15:28:50,-84.63636363636364
2022-09-05 15:28:52,-83.88461538461539
2022-09-05 15:28:54,-83.0
2022-09-05 15:28:56,-82.61111111111111
2022-09-05 15:28:58,-82.18181818181819
