rssi,Time
-91,2022-09-05 15:25:41.525
-87,2022-09-05 15:25:42.480
-93,2022-09-05 15:25:42.278
-88,2022-09-05 15:25:42.278
-91,2022-09-05 15:25:43.017
-87,2022-09-05 15:25:42.480
-92,2022-09-05 15:25:45.040
-87,2022-09-05 15:25:43.021
-91,2022-09-05 15:25:43.017
-89,2022-09-05 15:25:43.016
-92,2022-09-05 15:25:45.040
-79,2022-09-05 15:25:44.056
-91,2022-09-05 15:25:44.267
-86,2022-09-05 15:25:44.075
-92,2022-09-05 15:25:45.040
-94,2022-09-05 15:25:46.181
-92,2022-09-05 15:25:47.197
-87,2022-09-05 15:25:45.348
-84,2022-09-05 15:25:47.943
-94,2022-09-05 15:25:46.181
-92,2022-09-05 15:25:47.197
-86,2022-09-05 15:25:46.119
-84,2022-09-05 15:25:47.943
-89,2022-09-05 15:25:47.001
-92,2022-09-05 15:25:47.197
-83,2022-09-05 15:25:47.247
-81,2022-09-05 15:25:48.091
-89,2022-09-05 15:25:48.905
-93,2022-09-05 15:25:48.123
-89,2022-09-05 15:25:48.308
-88,2022-09-05 15:25:49.253
-87,2022-09-05 15:25:51.725
-89,2022-09-05 15:25:49.187
-93,2022-09-05 15:25:50.447
-81,2022-09-05 15:25:50.162
-87,2022-09-05 15:25:51.725
-94,2022-09-05 15:25:50.017
-93,2022-09-05 15:25:50.447
-89,2022-09-05 15:25:51.041
-87,2022-09-05 15:25:51.725
-93,2022-09-05 15:25:51.726
-88,2022-09-05 15:25:51.271
-94,2022-09-05 15:25:52.723
-91,2022-09-05 15:25:53.040
-96,2022-09-05 15:25:54.704
-85,2022-09-05 15:25:52.121
-91,2022-09-05 15:25:53.040
-96,2022-09-05 15:25:54.704
-86,2022-09-05 15:25:53.006
-85,2022-09-05 15:25:54.048
-96,2022-09-05 15:25:54.704
-87,2022-09-05 15:25:54.022
-86,2022-09-05 15:25:55.081
-93,2022-09-05 15:25:55.771
-90,2022-09-05 15:25:55.317
-92,2022-09-05 15:26:00.475
-93,2022-09-05 15:25:56.038
-86,2022-09-05 15:25:57.117
-88,2022-09-05 15:25:56.561
-92,2022-09-05 15:26:00.475
-80,2022-09-05 15:25:57.265
-86,2022-09-05 15:25:57.117
-86,2022-09-05 15:25:57.640
-92,2022-09-05 15:26:00.475
-79,2022-09-05 15:25:58.992
-88,2022-09-05 15:25:58.543
-86,2022-09-05 15:25:58.544
-92,2022-09-05 15:26:00.475
-80,2022-09-05 15:26:00.236
-89,2022-09-05 15:25:59.122
-93,2022-09-05 15:25:59.607
-92,2022-09-05 15:26:00.475
-80,2022-09-05 15:26:00.236
-86,2022-09-05 15:26:00.035
-89,2022-09-05 15:26:00.218
-92,2022-09-05 15:26:01.486
-93,2022-09-05 15:26:02.651
-88,2022-09-05 15:26:01.482
-89,2022-09-05 15:26:01.282
-90,2022-09-05 15:26:02.652
-93,2022-09-05 15:26:02.651
-83,2022-09-05 15:26:02.237
-86,2022-09-05 15:26:02.384
-91,2022-09-05 15:26:03.252
-91,2022-09-05 15:26:03.251
-93,2022-09-05 15:26:03.279
-91,2022-09-05 15:26:03.841
-92,2022-09-05 15:26:04.299
-93,2022-09-05 15:26:06.800
-85,2022-09-05 15:26:04.302
-87,2022-09-05 15:26:04.948
-93,2022-09-05 15:26:05.850
-93,2022-09-05 15:26:06.800
-93,2022-09-05 15:26:05.354
-92,2022-09-05 15:26:05.143
-93,2022-09-05 15:26:06.201
-93,2022-09-05 15:26:06.800
-92,2022-09-05 15:26:06.457
-86,2022-09-05 15:26:10.807
-93,2022-09-05 15:26:07.902
-92,2022-09-05 15:26:07.314
-93,2022-09-05 15:26:07.083
-86,2022-09-05 15:26:10.807
-91,2022-09-05 15:26:09.899
-93,2022-09-05 15:26:09.655
-93,2022-09-05 15:26:08.084
-86,2022-09-05 15:26:10.807
-91,2022-09-05 15:26:09.899
-93,2022-09-05 15:26:09.655
-91,2022-09-05 15:26:09.401
-86,2022-09-05 15:26:10.807
-92,2022-09-05 15:26:11.729
-91,2022-09-05 15:26:10.046
-96,2022-09-05 15:26:10.926
-86,2022-09-05 15:26:10.807
-92,2022-09-05 15:26:11.729
-88,2022-09-05 15:26:11.325
-90,2022-09-05 15:26:11.547
-83,2022-09-05 15:26:11.013
-86,2022-09-05 15:26:12.211
-91,2022-09-05 15:26:12.435
-94,2022-09-05 15:26:16.935
-84,2022-09-05 15:26:12.807
-74,2022-09-05 15:26:16.062
-93,2022-09-05 15:26:13.043
-94,2022-09-05 15:26:16.935
-86,2022-09-05 15:26:13.028
-74,2022-09-05 15:26:16.062
-93,2022-09-05 15:26:15.027
-94,2022-09-05 15:26:16.935
-91,2022-09-05 15:26:14.087
-74,2022-09-05 15:26:16.062
-93,2022-09-05 15:26:15.027
-94,2022-09-05 15:26:16.935
-89,2022-09-05 15:26:15.033
-74,2022-09-05 15:26:16.062
-87,2022-09-05 15:26:16.700
-94,2022-09-05 15:26:16.935
-77,2022-09-05 15:26:16.269
-76,2022-09-05 15:26:19.607
-91,2022-09-05 15:26:17.331
-91,2022-09-05 15:26:17.209
-80,2022-09-05 15:26:17.065
-76,2022-09-05 15:26:19.607
-90,2022-09-05 15:26:18.324
-95,2022-09-05 15:26:19.009
-86,2022-09-05 15:26:18.325
-76,2022-09-05 15:26:19.607
-84,2022-09-05 15:26:20.516
-95,2022-09-05 15:26:19.009
-87,2022-09-05 15:26:19.035
-75,2022-09-05 15:26:20.288
-84,2022-09-05 15:26:20.516
-89,2022-09-05 15:26:20.513
-94,2022-09-05 15:26:22.879
-88,2022-09-05 15:26:21.211
-89,2022-09-05 15:26:21.967
-94,2022-09-05 15:26:21.223
-94,2022-09-05 15:26:22.879
-90,2022-09-05 15:26:22.671
-93,2022-09-05 15:26:22.184
-87,2022-09-05 15:26:22.018
-94,2022-09-05 15:26:22.879
-93,2022-09-05 15:26:23.475
-89,2022-09-05 15:26:23.051
-86,2022-09-05 15:26:23.088
-85,2022-09-05 15:26:23.293
-90,2022-09-05 15:26:24.399
-83,2022-09-05 15:26:24.409
-88,2022-09-05 15:26:24.343
-90,2022-09-05 15:26:25.040
-95,2022-09-05 15:26:29.466
-78,2022-09-05 15:26:25.229
-88,2022-09-05 15:26:25.436
-91,2022-09-05 15:26:26.077
-95,2022-09-05 15:26:29.466
-84,2022-09-05 15:26:26.290
-89,2022-09-05 15:26:26.027
-90,2022-09-05 15:26:29.466
-95,2022-09-05 15:26:29.466
-89,2022-09-05 15:26:27.119
-87,2022-09-05 15:26:27.586
-90,2022-09-05 15:26:29.466
-95,2022-09-05 15:26:29.466
