name,locationStatus,timestamp,rssiOne,rssiTwo
FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
FF:FF:C0:21:EF:BA,INSIDE,1551367519287,-94,-94
FF:FF:C0:21:EF:1A,INSIDE,1551367519036,-87,-87
FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
FF:FF:C0:21:EF:BA,INSIDE,1551367520318,-96,-96
FF:FF:C0:21:EF:1A,INSIDE,1551367520146,-93,-93
FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367522370,-85,-85
FF:FF:C0:21:EF:1A,INSIDE,1551367521209,-88,-88
FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367522370,-85,-85
FF:FF:C0:21:EF:1A,INSIDE,1551367522286,-97,-97
FF:FF:C0:21:EF:BF,INSIDE,1551367522286,-80,-80
FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367523999,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367523570,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367523084,-90,-90
FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367524592,-89,-89
FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
FF:FF:C0:21:EF:BF,INSIDE,1551367524163,-94,-94
FF:FF:C0:21:F1:31,INSIDE,1551367525037,-91,-91
FF:FF:C0:21:EF:BA,INSIDE,1551367525667,-90,-90
FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
FF:FF:C0:21:EF:BF,INSIDE,1551367525109,-92,-92
FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367526316,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367526143,-105,-105
FF:FF:C0:21:EF:BF,INSIDE,1551367526127,-82,-82
FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367527006,-90,-90
FF:FF:C0:21:EF:1A,INSIDE,1551367528457,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367527008,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367528004,-94,-94
FF:FF:C0:21:EF:BA,INSIDE,1551367528057,-93,-93
FF:FF:C0:21:EF:1A,INSIDE,1551367528457,-94,-94
FF:FF:C0:21:EF:BF,INSIDE,1551367528017,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367529960,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367531257,-97,-97
FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367529076,-85,-85
FF:FF:C0:21:F1:31,INSIDE,1551367530026,-93,-93
FF:FF:C0:21:EF:BA,INSIDE,1551367531257,-97,-97
FF:FF:C0:21:EF:1A,INSIDE,1551367532919,-89,-89
FF:FF:C0:21:EF:BF,INSIDE,1551367530560,-91,-91
FF:FF:C0:21:F1:31,INSIDE,1551367531027,-85,-85
FF:FF:C0:21:EF:BA,INSIDE,1551367531257,-97,-97
