,time,rssi,azimuth,elevation,anchor,tag
0,2022-09-18 05:55:55.000,-74.66666666666667,-16.666666666666668,0.3333333333333333,anchor-a@ch37,tag-a@-35
1,2022-09-18 05:55:55.500,-75.5,-17.0,0.0,anchor-a@ch37,tag-a@-35
2,2022-09-18 05:55:56.000,-74.0,-18.0,0.0,anchor-a@ch37,tag-a@-35
3,2022-09-18 05:55:56.500,-76.0,-18.4,0.0,anchor-a@ch37,tag-a@-35
4,2022-09-18 05:55:57.000,-77.0,-11.666666666666666,0.0,anchor-a@ch37,tag-a@-35
5,2022-09-18 05:55:57.500,,,,anchor-a@ch37,tag-a@-35
6,2022-09-18 05:55:58.000,-81.0,-14.5,0.0,anchor-a@ch37,tag-a@-35
7,2022-09-18 05:55:58.500,-80.0,-16.0,0.0,anchor-a@ch37,tag-a@-35
8,2022-09-18 05:55:59.000,-77.25,-14.25,0.0,anchor-a@ch37,tag-a@-35
9,2022-09-18 05:55:59.500,-80.0,-13.0,1.0,anchor-a@ch37,tag-a@-35
10,2022-09-18 05:56:00.000,-77.0,-15.0,1.0,anchor-a@ch37,tag-a@-35
11,2022-09-18 05:56:00.500,-77.8,-15.2,1.0,anchor-a@ch37,tag-a@-35
12,2022-09-18 05:56:01.000,-77.0,-14.5,1.5,anchor-a@ch37,tag-a@-35
13,2022-09-18 05:56:01.500,-77.2,-11.0,2.0,anchor-a@ch37,tag-a@-35
14,2022-09-18 05:56:02.000,-78.16666666666667,-12.5,2.0,anchor-a@ch37,tag-a@-35
15,2022-09-18 05:56:02.500,-79.0,-13.0,2.0,anchor-a@ch37,tag-a@-35
16,2022-09-18 05:56:03.000,-75.5,-14.0,1.6666666666666667,anchor-a@ch37,tag-a@-35
17,2022-09-18 05:56:03.500,-76.0,-13.25,1.0,anchor-a@ch37,tag-a@-35
18,2022-09-18 05:56:04.000,-75.6,-13.0,0.8,anchor-a@ch37,tag-a@-35
19,2022-09-18 05:56:04.500,-74.8,-12.2,0.2,anchor-a@ch37,tag-a@-35
20,2022-09-18 05:56:05.000,-75.42857142857143,-14.285714285714286,0.0,anchor-a@ch37,tag-a@-35
21,2022-09-18 05:56:05.500,-76.4,-13.2,0.0,anchor-a@ch37,tag-a@-35
22,2022-09-18 05:56:06.000,-77.0,-10.833333333333334,0.3333333333333333,anchor-a@ch37,tag-a@-35
23,2022-09-18 05:56:06.500,-75.66666666666667,-12.0,0.0,anchor-a@ch37,tag-a@-35
24,2022-09-18 05:56:07.000,-77.0,-19.0,0.0,anchor-a@ch37,tag-a@-35
25,2022-09-18 05:56:07.500,-77.75,-21.0,0.0,anchor-a@ch37,tag-a@-35
26,2022-09-18 05:56:08.000,-78.5,-18.5,-0.5,anchor-a@ch37,tag-a@-35
27,2022-09-18 05:56:08.500,-75.2,-17.0,0.0,anchor-a@ch37,tag-a@-35
28,2022-09-18 05:56:09.000,-76.83333333333333,-13.5,0.0,anchor-a@ch37,tag-a@-35
29,2022-09-18 05:56:09.500,-78.83333333333333,-10.0,0.0,anchor-a@ch37,tag-a@-35
30,2022-09-18 05:56:10.000,-78.25,-10.0,0.0,anchor-a@ch37,tag-a@-35
31,2022-09-18 05:56:10.500,-76.66666666666667,-13.666666666666666,0.0,anchor-a@ch37,tag-a@-35
