,time,rssi,azimuth,elevation,anchor,tag
0,2022-09-18 05:47:50.000,-85.0,13.0,7.8,anchor-a@ch37,tag-a@-35
1,2022-09-18 05:47:50.500,-85.0,13.75,7.5,anchor-a@ch37,tag-a@-35
2,2022-09-18 05:47:51.000,-83.5,13.5,7.0,anchor-a@ch37,tag-a@-35
3,2022-09-18 05:47:51.500,-84.66666666666667,13.0,8.0,anchor-a@ch37,tag-a@-35
4,2022-09-18 05:47:52.000,-83.0,13.0,8.0,anchor-a@ch37,tag-a@-35
5,2022-09-18 05:47:52.500,-82.0,13.0,8.0,anchor-a@ch37,tag-a@-35
6,2022-09-18 05:47:53.000,-83.6,14.0,8.6,anchor-a@ch37,tag-a@-35
7,2022-09-18 05:47:53.500,-84.0,14.0,9.0,anchor-a@ch37,tag-a@-35
8,2022-09-18 05:47:54.000,-83.88888888888889,12.666666666666666,9.555555555555555,anchor-a@ch37,tag-a@-35
9,2022-09-18 05:47:54.500,-85.5,13.0,7.25,anchor-a@ch37,tag-a@-35
10,2022-09-18 05:47:55.000,-84.33333333333333,14.0,7.666666666666667,anchor-a@ch37,tag-a@-35
11,2022-09-18 05:47:55.500,,,,anchor-a@ch37,tag-a@-35
12,2022-09-18 05:47:56.000,,,,anchor-a@ch37,tag-a@-35
13,2022-09-18 05:47:56.500,-83.75,12.0,11.0,anchor-a@ch37,tag-a@-35
14,2022-09-18 05:47:57.000,,,,anchor-a@ch37,tag-a@-35
15,2022-09-18 05:47:57.500,-83.66666666666667,13.0,8.333333333333334,anchor-a@ch37,tag-a@-35
16,2022-09-18 05:47:58.000,,,,anchor-a@ch37,tag-a@-35
17,2022-09-18 05:47:58.500,-82.5,12.0,10.0,anchor-a@ch37,tag-a@-35
18,2022-09-18 05:47:59.000,,,,anchor-a@ch37,tag-a@-35
19,2022-09-18 05:47:59.500,-82.0,13.0,10.0,anchor-a@ch37,tag-a@-35
20,2022-09-18 05:48:00.000,-82.55555555555556,13.11111111111111,8.777777777777779,anchor-a@ch37,tag-a@-35
21,2022-09-18 05:48:00.500,-82.6,14.0,8.0,anchor-a@ch37,tag-a@-35
22,2022-09-18 05:48:01.000,-83.16666666666667,13.0,9.166666666666666,anchor-a@ch37,tag-a@-35
23,2022-09-18 05:48:01.500,-83.25,13.0,10.0,anchor-a@ch37,tag-a@-35
24,2022-09-18 05:48:02.000,-82.8,13.0,10.0,anchor-a@ch37,tag-a@-35
25,2022-09-18 05:48:02.500,-83.16666666666667,12.333333333333334,10.833333333333334,anchor-a@ch37,tag-a@-35
26,2022-09-18 05:48:03.000,-84.0,13.25,11.0,anchor-a@ch37,tag-a@-35
27,2022-09-18 05:48:03.500,-84.5,13.25,11.0,anchor-a@ch37,tag-a@-35
28,2022-09-18 05:48:04.000,-83.8,13.0,10.2,anchor-a@ch37,tag-a@-35
29,2022-09-18 05:48:04.500,-82.75,12.5,9.0,anchor-a@ch37,tag-a@-35
30,2022-09-18 05:48:05.000,-83.5,12.166666666666666,9.166666666666666,anchor-a@ch37,tag-a@-35
31,2022-09-18 05:48:05.500,-83.6,12.6,8.6,anchor-a@ch37,tag-a@-35
32,2022-09-18 05:48:06.000,-83.33333333333333,13.0,8.833333333333334,anchor-a@ch37,tag-a@-35
33,2022-09-18 05:48:06.500,-83.25,13.0,9.0,anchor-a@ch37,tag-a@-35
34,2022-09-18 05:48:07.000,-83.11111111111111,13.0,9.333333333333334,anchor-a@ch37,tag-a@-35
35,2022-09-18 05:48:07.500,-84.0,14.25,7.75,anchor-a@ch37,tag-a@-35
36,2022-09-18 05:48:08.000,-84.0,13.833333333333334,7.0,anchor-a@ch37,tag-a@-35
37,2022-09-18 05:48:08.500,-82.0,12.5,8.5,anchor-a@ch37,tag-a@-35
38,2022-09-18 05:48:09.000,-83.33333333333333,12.0,9.666666666666666,anchor-a@ch37,tag-a@-35
39,2022-09-18 05:48:09.500,-83.83333333333333,12.166666666666666,10.166666666666666,anchor-a@ch37,tag-a@-35
40,2022-09-18 05:48:10.000,-84.5,13.0,8.5,anchor-a@ch37,tag-a@-35
41,2022-09-18 05:48:10.500,-84.0,12.75,8.0,anchor-a@ch37,tag-a@-35
42,2022-09-18 05:48:11.000,-84.375,12.0,9.625,anchor-a@ch37,tag-a@-35
43,2022-09-18 05:48:11.500,-83.0,12.8,9.0,anchor-a@ch37,tag-a@-35
44,2022-09-18 05:48:12.000,-83.0,13.0,9.0,anchor-a@ch37,tag-a@-35
45,2022-09-18 05:48:12.500,-83.0,13.0,7.75,anchor-a@ch37,tag-a@-35
46,2022-09-18 05:48:13.000,-82.4,13.0,8.2,anchor-a@ch37,tag-a@-35
47,2022-09-18 05:48:13.500,-83.66666666666667,13.0,10.0,anchor-a@ch37,tag-a@-35
48,2022-09-18 05:48:14.000,-85.0,12.5,9.125,anchor-a@ch37,tag-a@-35
49,2022-09-18 05:48:14.500,-83.5,13.5,9.0,anchor-a@ch37,tag-a@-35
