,time,rssi,azimuth,elevation,anchor,tag
0,2022-09-18 05:52:12.000,-78.0,23.0,-0.6666666666666666,anchor-a@ch37,tag-a@-35
1,2022-09-18 05:52:12.500,-78.0,23.333333333333332,0.0,anchor-a@ch37,tag-a@-35
2,2022-09-18 05:52:13.000,-78.4,22.0,-0.6,anchor-a@ch37,tag-a@-35
3,2022-09-18 05:52:13.500,-78.0,22.0,-1.0,anchor-a@ch37,tag-a@-35
4,2022-09-18 05:52:14.000,-78.33333333333333,21.166666666666668,-0.5,anchor-a@ch37,tag-a@-35
5,2022-09-18 05:52:14.500,-78.0,21.0,-1.0,anchor-a@ch37,tag-a@-35
6,2022-09-18 05:52:15.000,-78.5,21.75,-1.0,anchor-a@ch37,tag-a@-35
7,2022-09-18 05:52:15.500,-78.6,22.8,-0.8,anchor-a@ch37,tag-a@-35
8,2022-09-18 05:52:16.000,-78.6,22.2,-0.8,anchor-a@ch37,tag-a@-35
9,2022-09-18 05:52:16.500,-78.75,22.0,-0.75,anchor-a@ch37,tag-a@-35
10,2022-09-18 05:52:17.000,-78.0,22.0,-0.3333333333333333,anchor-a@ch37,tag-a@-35
11,2022-09-18 05:52:17.500,-79.0,22.75,0.0,anchor-a@ch37,tag-a@-35
12,2022-09-18 05:52:18.000,-78.66666666666667,21.333333333333332,0.0,anchor-a@ch37,tag-a@-35
13,2022-09-18 05:52:18.500,-77.83333333333333,22.0,0.0,anchor-a@ch37,tag-a@-35
14,2022-09-18 05:52:19.000,-78.0,20.0,-1.0,anchor-a@ch37,tag-a@-35
15,2022-09-18 05:52:19.500,-78.0,20.0,-0.6666666666666666,anchor-a@ch37,tag-a@-35
16,2022-09-18 05:52:20.000,-78.0,21.875,-0.125,anchor-a@ch37,tag-a@-35
17,2022-09-18 05:52:20.500,-78.0,23.4,0.0,anchor-a@ch37,tag-a@-35
18,2022-09-18 05:52:21.000,-78.0,23.0,0.0,anchor-a@ch37,tag-a@-35
19,2022-09-18 05:52:21.500,-78.25,23.0,0.0,anchor-a@ch37,tag-a@-35
20,2022-09-18 05:52:22.000,-77.83333333333333,23.0,0.16666666666666666,anchor-a@ch37,tag-a@-35
21,2022-09-18 05:52:22.500,-77.4,23.0,0.0,anchor-a@ch37,tag-a@-35
22,2022-09-18 05:52:23.000,-78.0,23.0,-0.16666666666666666,anchor-a@ch37,tag-a@-35
