,time,rssi,azimuth,elevation,anchor,tag
61,2022-09-18 05:50:54.500,-80.66666666666667,24.666666666666668,0.0,anchor-a@ch37,tag-a@-35
62,2022-09-18 05:50:55.000,-80.33333333333333,23.0,0.0,anchor-a@ch37,tag-a@-35
63,2022-09-18 05:50:55.500,-80.33333333333333,24.0,-0.6666666666666666,anchor-a@ch37,tag-a@-35
64,2022-09-18 05:50:56.000,-80.2,25.2,-0.4,anchor-a@ch37,tag-a@-35
65,2022-09-18 05:50:56.500,-80.75,26.0,-2.0,anchor-a@ch37,tag-a@-35
66,2022-09-18 05:50:57.000,-79.88888888888889,25.555555555555557,-1.5555555555555556,anchor-a@ch37,tag-a@-35
67,2022-09-18 05:50:57.500,-79.83333333333333,23.5,-1.0,anchor-a@ch37,tag-a@-35
68,2022-09-18 05:50:58.000,-79.75,26.25,-1.25,anchor-a@ch37,tag-a@-35
69,2022-09-18 05:50:58.500,-80.125,25.0,-0.75,anchor-a@ch37,tag-a@-35
70,2022-09-18 05:50:59.000,-80.6,24.8,0.0,anchor-a@ch37,tag-a@-35
71,2022-09-18 05:50:59.500,-80.2,24.2,0.0,anchor-a@ch37,tag-a@-35
72,2022-09-18 05:51:00.000,-80.25,24.0,-0.75,anchor-a@ch37,tag-a@-35
73,2022-09-18 05:51:00.500,-80.6,25.6,-1.0,anchor-a@ch37,tag-a@-35
74,2022-09-18 05:51:01.000,-80.5,25.25,-1.25,anchor-a@ch37,tag-a@-35
75,2022-09-18 05:51:01.500,-80.0,25.0,-1.7142857142857142,anchor-a@ch37,tag-a@-35
76,2022-09-18 05:51:02.000,-79.8,24.8,-1.0,anchor-a@ch37,tag-a@-35
77,2022-09-18 05:51:02.500,-80.0,24.0,-1.0,anchor-a@ch37,tag-a@-35
78,2022-09-18 05:51:03.000,-80.4,24.8,-1.0,anchor-a@ch37,tag-a@-35
79,2022-09-18 05:51:03.500,-80.5,25.5,-1.0,anchor-a@ch37,tag-a@-35
80,2022-09-18 05:51:04.000,-80.5,26.0,-1.0,anchor-a@ch37,tag-a@-35
81,2022-09-18 05:51:04.500,-80.33333333333333,25.0,-0.3333333333333333,anchor-a@ch37,tag-a@-35
82,2022-09-18 05:51:05.000,-80.0,24.333333333333332,0.0,anchor-a@ch37,tag-a@-35
83,2022-09-18 05:51:05.500,-79.66666666666667,25.333333333333332,-1.3333333333333333,anchor-a@ch37,tag-a@-35
84,2022-09-18 05:51:06.000,-80.0,25.75,-1.25,anchor-a@ch37,tag-a@-35
85,2022-09-18 05:51:06.500,-80.66666666666667,25.0,-1.0,anchor-a@ch37,tag-a@-35
86,2022-09-18 05:51:07.000,-81.16666666666667,25.0,-1.0,anchor-a@ch37,tag-a@-35
87,2022-09-18 05:51:07.500,-81.6,24.6,-0.6,anchor-a@ch37,tag-a@-35
88,2022-09-18 05:51:08.000,-81.33333333333333,24.666666666666668,-1.3333333333333333,anchor-a@ch37,tag-a@-35
89,2022-09-18 05:51:08.500,-80.6,24.6,-2.0,anchor-a@ch37,tag-a@-35
90,2022-09-18 05:51:09.000,-80.5,24.0,-1.8333333333333333,anchor-a@ch37,tag-a@-35
91,2022-09-18 05:51:09.500,-80.0,24.75,-1.0,anchor-a@ch37,tag-a@-35
92,2022-09-18 05:51:10.000,-80.83333333333333,25.0,-1.0,anchor-a@ch37,tag-a@-35
93,2022-09-18 05:51:10.500,-80.0,24.25,-1.0,anchor-a@ch37,tag-a@-35
94,2022-09-18 05:51:11.000,-79.75,25.0,-0.25,anchor-a@ch37,tag-a@-35
95,2022-09-18 05:51:11.500,-80.66666666666667,25.0,-1.6666666666666667,anchor-a@ch37,tag-a@-35
96,2022-09-18 05:51:12.000,-80.5,25.0,-2.0,anchor-a@ch37,tag-a@-35
97,2022-09-18 05:51:12.500,-80.5,25.0,-1.0,anchor-a@ch37,tag-a@-35
98,2022-09-18 05:51:13.000,-80.83333333333333,25.5,-1.0,anchor-a@ch37,tag-a@-35
99,2022-09-18 05:51:13.500,-80.8,24.4,-1.0,anchor-a@ch37,tag-a@-35
100,2022-09-18 05:51:14.000,-80.5,24.0,-1.0,anchor-a@ch37,tag-a@-35
101,2022-09-18 05:51:14.500,-82.2,24.0,-1.0,anchor-a@ch37,tag-a@-35
102,2022-09-18 05:51:15.000,-81.33333333333333,24.5,-0.5,anchor-a@ch37,tag-a@-35
103,2022-09-18 05:51:15.500,-81.33333333333333,25.0,0.0,anchor-a@ch37,tag-a@-35
104,2022-09-18 05:51:16.000,-80.66666666666667,25.333333333333332,-0.3333333333333333,anchor-a@ch37,tag-a@-35
105,2022-09-18 05:51:16.500,-80.0,27.0,-2.0,anchor-a@ch37,tag-a@-35
